timestamp,P2
2018-09-01 03:07:28.485,11.9
2018-09-01 03:07:52.436,12.43
2018-09-01 03:08:44.701,11.5
2018-09-01 03:09:43.270,7.07
2018-09-01 03:09:57.996,14.52
2018-09-01 03:10:22.248,13.4
2018-09-01 03:11:13.999,12.5
2018-09-01 03:12:14.501,6.87
2018-09-01 03:12:27.428,12.1
2018-09-01 03:12:52.163,11.88
2018-09-01 03:13:43.698,12.5
2018-09-01 03:14:44.927,7.63
2018-09-01 03:14:56.878,12.3
2018-09-01 03:15:21.877,12.35
2018-09-01 03:16:13.185,16.03
2018-09-01 03:17:15.274,7.07
2018-09-01 03:17:26.298,11.82
2018-09-01 03:17:51.992,13.02
2018-09-01 03:18:43.235,15.0
2018-09-01 03:19:45.672,6.9
2018-09-01 03:19:56.141,12.2
2018-09-01 03:20:21.803,12.95
2018-09-01 03:21:14.082,13.37
2018-09-01 03:22:16.327,7.17
2018-09-01 03:22:26.433,12.9
2018-09-01 03:22:51.727,12.65
2018-09-01 03:23:44.074,12.93
2018-09-01 03:24:46.852,7.03
2018-09-01 03:24:56.661,12.52
2018-09-01 03:25:21.438,12.57
2018-09-01 03:26:14.008,12.9
2018-09-01 03:27:17.378,6.63
2018-09-01 03:27:26.552,13.25
2018-09-01 03:27:51.668,13.25
2018-09-01 03:28:46.006,10.63
2018-09-01 03:29:48.628,7.2
2018-09-01 03:29:55.535,12.5
2018-09-01 03:30:21.467,13.6
2018-09-01 03:31:18.047,11.67
2018-09-01 03:32:19.152,7.17
2018-09-01 03:32:25.481,12.02
2018-09-01 03:32:51.477,12.77
2018-09-01 03:33:47.753,14.57
2018-09-01 03:34:49.587,7.1
2018-09-01 03:34:54.445,12.32
2018-09-01 03:35:21.327,14.07
2018-09-01 03:36:17.871,15.5
2018-09-01 03:37:21.011,7.0
2018-09-01 03:37:23.659,12.48
2018-09-01 03:37:51.248,13.13
2018-09-01 03:38:48.208,15.57
2018-09-01 03:39:51.453,8.73
2018-09-01 03:39:52.762,11.9
2018-09-01 03:40:21.380,13.35
2018-09-01 03:41:18.515,15.2
2018-09-01 03:42:21.977,7.13
2018-09-01 03:42:22.867,12.8
2018-09-01 03:42:51.341,12.32
2018-09-01 03:43:47.816,14.2
2018-09-01 03:44:52.004,7.3
2018-09-01 03:44:52.268,12.37
2018-09-01 03:45:21.156,12.13
2018-09-01 03:46:18.035,15.27
2018-09-01 03:47:22.408,13.23
2018-09-01 03:47:22.602,7.17
2018-09-01 03:47:51.170,12.25
2018-09-01 03:48:47.460,14.0
2018-09-01 03:49:51.623,15.2
2018-09-01 03:49:53.333,6.57
2018-09-01 03:50:21.291,12.48
2018-09-01 03:51:16.866,14.47
2018-09-01 03:52:21.214,14.65
2018-09-01 03:52:23.964,7.13
2018-09-01 03:52:51.203,13.48
2018-09-01 03:53:47.482,13.87
2018-09-01 03:54:50.623,13.05
2018-09-01 03:54:54.187,7.0
2018-09-01 03:55:20.915,14.65
2018-09-01 03:56:18.210,14.57
2018-09-01 03:57:20.001,13.4
2018-09-01 03:57:25.871,7.57
2018-09-01 03:57:50.722,12.8
2018-09-01 03:58:47.731,17.57
2018-09-01 03:59:50.243,12.9
2018-09-01 03:59:57.729,7.23
2018-09-01 04:00:20.845,12.77
2018-09-01 04:01:18.767,19.4
2018-09-01 04:02:19.672,13.6
2018-09-01 04:02:28.877,6.83
2018-09-01 04:02:50.961,12.7
2018-09-01 04:03:48.271,18.6
2018-09-01 04:04:49.971,14.27
2018-09-01 04:04:59.193,7.3
2018-09-01 04:05:20.671,12.23
2018-09-01 04:06:18.382,19.9
2018-09-01 04:07:19.040,12.75
2018-09-01 04:07:29.933,7.7
2018-09-01 04:07:50.713,12.35
2018-09-01 04:08:47.802,18.33
2018-09-01 04:09:48.980,16.9
2018-09-01 04:10:00.139,6.97
